Artistas,Link,Descripción,Responsable,Produción
Cantautores Pedro Guerra - 8 de Agosto 2020,https://www.ivoox.com/pedro-guerra-trovador-cubano-8211-8-agosto-20-audios-mp3_rf_55274043_1.html,Pedro Guerra - Trovador Cubano – 8/Agosto/20,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores Lena Bugedo - 15 de Agosto 2020,https://www.ivoox.com/lena-buguedo-lena-bu-8211-15-agosto-2020-audios-mp3_rf_55600654_1.html,Lena Bugedo – 15/Agosto/20,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores Pez Mago - 22 de Agosto 2020,https://www.ivoox.com/pez-mago-8211-22-agosto-2020-audios-mp3_rf_55774821_1.html,PEZ MAGO – 22/Agosto/20,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores Pedro Pastor Español - 29 de Agosto 2020,https://www.ivoox.com/pedro-pastor-espanol-8211-29-agosto-2020-audios-mp3_rf_55983840_1.html,Pedro Pastor Español – 29/Agosto/2020,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores Alfredo Zitarrosa - 05 de Sept 2020,https://www.ivoox.com/alfredo-zitarrosa-8211-5-sept-2020-audios-mp3_rf_56919230_1.html,Alfredo Zitarrosa – 5/Sept/2020,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores Ali Primera - 12 de Sept 2020,https://www.ivoox.com/ali-primera-8211-12-sept-2020-audios-mp3_rf_56919751_1.html,Ali Primera – 12/Sept/2020,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores Violeta Parra - 19 de Sept 2020,https://www.ivoox.com/violeta-parra-19-sept-2020-audios-mp3_rf_59895851_1.html,Violeta Parra – 19/Sept/2020,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores Jorge Cafrune - 26 de Sept 2020,https://www.ivoox.com/jorge-cafrune-8211-26-sept-2020-audios-mp3_rf_59896593_1.html,Jorge Cafrune – 26/Sept/2020,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores Jhorman Zapata - 03 de Octubre 2020,https://www.ivoox.com/jhorman-zapata-8211-03-oct-2020-audios-mp3_rf_59898723_1.html,JHORMAN ZAPATA – 03/Oct/2020,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores PALAU - 10 de Octubre 2020,https://www.ivoox.com/palau-8211-10-oct-2020-audios-mp3_rf_59899164_1.html,PALAU – 10/Oct/2020,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores MARIA VANEDI - 17 de Octubre 2020,https://www.ivoox.com/maria-vanedi-8211-17-oct-2020-audios-mp3_rf_59899574_1.html,MARIA VANEDI – 17/Oct/2020,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores NITO CARVAJAL - 24 de Octubre 2020,https://www.ivoox.com/nito-carvajal-8211-24-oct-2020-audios-mp3_rf_59900600_1.html,NITO CARVAJAL – 24/Oct/2020,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores ANDRÉS CORREA - 31 de Octubre 2020,https://www.ivoox.com/andres-correa-8211-31-oct-2020-audios-mp3_rf_59900971_1.html,ANDRÉS CORREA – 31/Oct/2020,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores William Vivanco - 07 de Noviembre 2020,https://www.ivoox.com/william-vivanco-trovador-cubano-8211-07-nov-2020-audios-mp3_rf_62285110_1.html,William Vivanco - Trovador Cubano – 07/Nov/2020,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores Grupo Cuatro Cuerdas - 14 de Noviembre 2020,https://www.ivoox.com/grupo-cuatro-cuerdas-pereirano-8211-14-nov-2020-audios-mp3_rf_62285208_1.html,Grupo Cuatro Cuerdas - Pereirano – 14/Nov/2020,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores - Yuri Buenaventura - Entrevista Conversan2 - 21 de Noviembre 2020,https://www.ivoox.com/yuri-buenaventura-entrevista-conversan2-8211-21-nov-2020-audios-mp3_rf_62285588_1.html,Yuri Buenaventura - Entrevista Conversan2 – 21/Nov/2020,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores - Quilipayun - Grupo Chileno - 28 de Noviembre 2020,https://www.ivoox.com/quilipayun-grupo-chileno-8211-28-nov-2020-audios-mp3_rf_62285733_1.html,Quilipayun - Grupo Chileno – 28/Nov/2020,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores - Inti illimani - Grupo Chileno - 05 de Diciembre 2020,https://www.ivoox.com/inti-illimani-grupo-chileno-8211-05-dic-2020-audios-mp3_rf_62286039_1.html,Inti Illimani - Grupo Chileno – 05/Dic/2020,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores - Daniel - Uruguay - 12 de Diciembre 2020,https://www.ivoox.com/daniel-alberto-viglieti-uruguay-8211-12-dic-2020-audios-mp3_rf_62286302_1.html,Daniel Alberto Viglieti- Uruguay – 12/Dic/2020,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores - Martha Hoyos- 19 de Diciembre 2020,https://www.ivoox.com/martha-hoyos-8211-19-dic-2020-audios-mp3_rf_66711841_1.html,Martha Hoyos – 19/Dic/2020,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores - Susana Baca - 26 de Diciembre 2020,https://www.ivoox.com/susana-baca-8211-26-dic-2020-audios-mp3_rf_66712049_1.html,Susana Baca – 26/Dic/2020,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores - Alberto Plaza- 02 de Enero 2021,https://www.ivoox.com/alberto-plaza-8211-02-ene-2021-audios-mp3_rf_66713037_1.html,Alberto Plaza – 02/Ene/2021,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores - Adolfo Ramirez Santos- 20 de Enero 2021,https://www.ivoox.com/adolfo-ramirez-santos-8211-20-ene-2021-audios-mp3_rf_66713279_1.html,Adolfo Ramirez Santos – 20/Ene/2021,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores - Ricardo Arjona- 23 de Enero 2021,https://www.ivoox.com/ricardo-arjona-8211-23-ene-2021-audios-mp3_rf_66713443_1.html,Ricardo Arjona – 23/Ene/2021,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores - Cesar Isella- 06 de Febrero 2021,https://www.ivoox.com/cesar-isella-8211-06-febr-2021-audios-mp3_rf_69242327_1.html,Cesar Isella – 06/Febr/2021,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores - Sara Gonzales- 13 de Febrero 2021,https://www.ivoox.com/sara-gonzales-8211-13-febr-2021-audios-mp3_rf_69244942_1.html,Sara Gonzales – 13/Febr/2021,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores - Canción Infantil 06 de marzo 2021,https://www.ivoox.com/canciones-infantiles-06-mar-2021-audios-mp3_rf_69277135_1.html,Canciones Infantiles 06/Mar/2021,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores - Clara Cantore - 13 de Marzo 2021,https://www.ivoox.com/clara-cantore-8211-13-marzo-2021-audios-mp3_rf_69278903_1.html,Clara Cantore – 13/Marzo/2021,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores - Maria Vanedi - 20 de Marzo 2021,https://www.ivoox.com/maria-vanedi-8211-20-marzo-2021-audios-mp3_rf_69280469_1.html,Maria Vanedi – 20/Marzo/2021,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores - Mauricio Palau - 27 de Marzo 2021,https://www.ivoox.com/mauricio-palau-8211-27-marzo-2021-audios-mp3_rf_69281446_1.html,Cantautores - Mauricio Palau - 27 de Marzo 2021,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores - Rey Brown - 10 de Abril 2021,https://www.ivoox.com/rey-brown-8211-10-abril-2021-audios-mp3_rf_69281688_1.html,Rey Brown – 10/Abril/2021,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Cantautores - Amanda Cepero - 17 de Abril 2021,https://www.ivoox.com/amanda-cepero-8211-17-abril-2021-audios-mp3_rf_69282278_1.html,Amanda Cepero – 17/Abril/2021,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Los Reyes Magos,https://co.ivoox.com/es/podcast-creciendo-juntos_sq_f1869480_1.html,En este episodio de Creciendo Juntos Hablamos sobre las diferentes festividad de los “Reyes Magos” y su mención bíblica. /Realizador: Martha Isabel Castrillon,David Vargas,Productor: Luz Mery Bermúdez
El Sentido De La Vida,https://co.ivoox.com/es/creciendo-juntos-el-sentido-de-la-vida-audios-mp3_rf_52214494_1.html,En este episodio de Creciendo Juntos tratamos sobre “El sentido de la Vida” /Realizador: Martha Isabel Castrillon,David Vargas,Productor: Luz Mery Bermúdez
Los Abrazos,https://co.ivoox.com/es/creciendo-juntos-los-abrazos-audios-mp3_rf_52214810_1.html,"En este episodio de Creciendo Juntos hablamos sobre “Los abrazos” , Orígenes, y reseñas históricas. /Realizador: Martha Castrillon",David Vargas,Productor: Luz Mery Bermúdez
El Acento,https://co.ivoox.com/es/creciendo-juntos-el-acento-audios-mp3_rf_48857374_1.html,"En este programa veremos cuál y cómo se usa el acento, música del monosílabo, el reggaetón de las tildes, el poema a margarita, el oso de anteojos con su historia",David Vargas,Productor: Luz Mery Bermúdez
Juntos Día de las marmotas,https://co.ivoox.com/es/creciendo-juntos-dia-marmotas-audios-mp3_rf_48857177_1.html,"Explicaremos de la celebración del día de las marmotas en estados unidos y en Europa, cual es el animal marmota y por qué se celebra, música clásica y poema para niños sobre el agradecimiento y la importancia de la familia, Jorge el curioso.",David Vargas,Productor: Luz Mery Bermúdez
La Ciencia,https://co.ivoox.com/es/creciendo-juntos-la-ciencia-audios-mp3_rf_48857044_1.html,"La ciencia y los niños, música e información clara para que los niños entiendan la ciencia , también un poema y cuento.",David Vargas,Productor: Luz Mery Bermúdez
Pequeños Creadores de Notas (Majo Insuasti),https://co.ivoox.com/es/creciendo-juntos-pequenos-creadores-notas-majo-insuasti-audios-mp3_rf_48856479_1.html,Virtuosidad y creatividad de los niños del mundo. Invitada especial Majo Isuasti y su trasegar en la música.,David Vargas,Productor: Luz Mery Bermúdez
El Respeto,https://co.ivoox.com/es/creciendo-juntos-los-abrazos-audios-mp3_rf_52214810_1.html,En esta entrega de Creciendo Juntos tratamos sobre “El Respeto” ahora en cuarentena /Realizador: Martha Castrillon.,David Vargas,Productor: Luz Mery Bermúdez
Especial - Amira Willighagen (Pequeños creadores de notas),https://co.ivoox.com/es/creciendo-juntos-especial-amira-willighagen-pequenos-audios-mp3_rf_52247704_1.html,En este episodio de Creciendo Juntos presentamos un especial “Pequeños creadores de notas”  escucharemos a “Amira Willighagen” que a la edad de 9 años interpretaba opera sin previa educación vocal /Realizador: Martha Castrillon.,David Vargas,Productor: Luz Mery Bermúdez
La Paciencia,https://co.ivoox.com/es/creciendo-juntos-paciencia-audios-mp3_rf_52247850_1.html,En este episodio de Creciendo juntos tratamos sobre la “Paciencia” indispensable en la situación actual /Realizador: Martha Castrillon.,David Vargas,Productor: Luz Mery Bermúdez
Educacion en casa,https://co.ivoox.com/es/creciendo-juntos-paciencia-audios-mp3_rf_52247850_1.html,"En este episodio de Creciendo Juntos hablamos sobre “El Aislamiento” educación en casa, alimentación, deporte, interaccion. /Realizador: Martha Castrillon",David Vargas,Productor: Luz Mery Bermúdez
Creatividad y Desarrollo del Pensamiento,https://co.ivoox.com/es/creciendo-juntos-creatividad-desarrollo-del-pensamiento-audios-mp3_rf_52504955_1.html,"En este episodio de Creciendo Juntos tratamos sobre Creatividad, Innovación e Imaginación, promoviendo la investigación y experimentación del niño con su propia percepción, juegos y ejercicios para desarrollas las habilidades del pensamiento. /Realizador: Martha Castrillon.",David Vargas,Productor: Luz Mery Bermúdez
Amira Uzun e Hikari Oe (Pequeños creadores de notas),https://co.ivoox.com/es/amira-uzun-e-hikari-oe-pequenos-creadores-de-audios-mp3_rf_52508746_1.html,"En este episodio de Creciendo Juntos presentamos Pequeños Creadores De Notas, Amelia Uzun, e Hikari Oe, Pequeños grandes prodigios de la música. /Realizador: Martha Castrillon.",David Vargas,Productor: Luz Mery Bermúdez
Vacunas y su importancia.,https://co.ivoox.com/es/creciendo-juntos-vacunas-su-importancia-audios-mp3_rf_51487651_1.html,"En este episodio de Creciendo Juntos hablamos de la importancia de las vacunas, tipos de vacunas, y parte de su historia.",David Vargas,Productor: Luz Mery Bermúdez
Especial - Pequeños creadores de notas,https://co.ivoox.com/es/creciendo-juntos-especial-pequenos-creadores-de-audios-mp3_rf_53024526_1.html,"En esta entrega de Creciendo Juntos presentamos el especial “Pequeños creadores de notas” en esta ocasión de nuestro país Colombia, tendremos en esta ocasión a Alana Toro, Valentina Campbell, Niños indígenas, y Diana Valentina Fernández. /Realizador: Martha Castrillón            Fecha de emisión: 29/06/2020",David Vargas,Productor: Luz Mery Bermúdez
El Divorcio,https://co.ivoox.com/es/creciendo-juntos-el-divorcio-invitada-audios-mp3_rf_53560687_1.html,En este episodio de Creciendo Juntos presentamos “El Divorcio” junto a Indira Porto Carrero /--/Realizador: Martha Castrillón /--/Fecha de emisión: 06/06/2020,David Vargas,Productor: Luz Mery Bermúdez
El Universo,https://co.ivoox.com/es/creciendo-juntos-el-universo-audios-mp3_rf_54649413_1.html,"En este episodio de Creciendo Juntos presentamos “El Universo”, con música de Jen’s kids, Dino, Happy Learning, y cuentos de “Miguel Ángel Tena”. /--/Realizador: Martha Castrillón /--/Fecha de emisión: Julio 13 2020",David Vargas,Productor: Luz Mery Bermúdez
Dia De La Independencia,https://co.ivoox.com/es/creciendo-juntos-dia-de-la-independencia-audios-mp3_rf_54650077_1.html,"En este capítulo de Creciendo Juntos conmemoramos El Dia De La Independencia, Historia, contexto, e importancia. /--/Realizador: Martha Castrillón /--/Fecha de emisión: 27 Julio 2020",David Vargas,Productor: Luz Mery Bermúdez
Estudiando En Casa,https://co.ivoox.com/es/creciendo-juntos-estudiando-en-casa-audios-mp3_rf_55696079_1.html,"En esta entrega de Creciendo Juntos presentamos, “Estudiando Desde Casa”, con poemas, cuentos, y música",No aplica,No aplica
Los Dinosaurio,https://co.ivoox.com/es/creciendo-juntos-los-dinosaurios-audios-mp3_rf_56076972_1.html,"En este episodio de Creciendo Juntos presentamos, “Los Dinosaurios”, educación, música, y diversión. /--/Realizador: Martha Castrillón /--/Fecha de emisión: 10 Agosto 2020",David Vargas,Productor: Luz Mery Bermúdez
Las Matematicas,https://co.ivoox.com/es/creciendo-juntos-las-matematicas-audios-mp3_rf_56699533_1.html,"En esta ocasión en Creciendo Juntos presentamos, “Las Matemáticas”, Historia, música, y educación. /--/Realizador: Martha Castrillon /--/Fecha de emisión: 24 Agosto 2020.",David Vargas,Productor: Luz Mery Bermúdez
El Gallito de oro y Cortney Hadwin,https://www.ivoox.com/creciendo-juntos-el-gallito-oro-y-audios-mp3_rf_59908090_1.html,"Hoy en Creciendo Juntos presentamos otra entrega de Pequeños Creadores De Notas, con Luis Ángel Gómez Jaramillo (El Gallito de oro), y Cortney Hadwin. Realizador: Martha Castrillon Fecha de emisión: 7 Septiembre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Cumpleaños Pereira,https://www.ivoox.com/cj-cumpleanos-pereira-30-agosto-2021-audios-mp3_rf_76656363_1.html,"Creciendo Juntos, un espacio para el aprendizaje y la diversión, con contenido educativo especialmente para los mas pequeños.",David Vargas,Productor: Luz Mery Bermúdez
El Fuego,https://www.ivoox.com/creciendo-juntos-el-fuego-audios-mp3_rf_59908398_1.html,"En esta ocasión Creciendo Juntos presentamos, “El Fuego”, con música de, Jacinto Ricardo Piedrahita, Carlos Alberto Rodriguez, Pixar, escucharemos un poema de Patricia Segura, y un cuento de Virtual Vivo. Realizador: Martha Castrillon. Fecha de emisión: 14 Septiembre 2020.",David Vargas,Productor: Luz Mery Bermúdez
La Electricidad,https://www.ivoox.com/creciendo-juntos-la-electricidad-audios-mp3_rf_59908853_1.html,"Esta vez en Creciendo Juntos presentamos, “La Electricidad”, Historia, educación música y diversión. Realizador: Martha Castrillon. Fecha de emisión: 21 Septiembre 2020.",David Vargas,Productor: Luz Mery Bermúdez
La Television,https://www.ivoox.com/creciendo-juntos-la-television-audios-mp3_rf_59909134_1.html,"En esta ocasión Creciendo Juntos presentamos, “La Television”, Historia de esta ventana al mundo",No aplica,No aplica
Pequeños Creadores de Notas,https://www.ivoox.com/creciendo-juntos-pequenos-18-ene-21-audios-mp3_rf_72844043_1.html,Construyendo felicidad entre risas y alegrías.,David Vargas,Productor: Luz Mery Bermúdez
Isaac Newton,https://www.ivoox.com/creciendo-juntos-isaac-newton-25-ene-21-audios-mp3_rf_72844087_1.html,Construyendo felicidad entre risas y alegrías.,David Vargas,Productor: Luz Mery Bermúdez
Pequeños Creadores De Notas,https://www.ivoox.com/creciendo-juntos-pequenos-creadores-de-notas-01-feb-21-audios-mp3_rf_72844121_1.html,Construyendo felicidad entre risas y alegrías.,David Vargas,Productor: Luz Mery Bermúdez
El Maiz,https://www.ivoox.com/creciendo-juntos-el-maiz-08-feb-21-audios-mp3_rf_72844154_1.html,Construyendo felicidad entre risas y alegrías.,David Vargas,Productor: Luz Mery Bermúdez
Las Abejas,https://www.ivoox.com/creciendo-juntos-las-abejas-15-feb-21-audios-mp3_rf_72844303_1.html,Construyendo felicidad entre risas y alegrías.,David Vargas,Productor: Luz Mery Bermúdez
El Planeta Marte,https://www.ivoox.com/creciendo-juntos-planeta-marte-22-feb-21-audios-mp3_rf_72844519_1.html,Construyendo felicidad entre risas y alegrías.,David Vargas,Productor: Luz Mery Bermúdez
